run_id,original_path,terrain_name,terrain_height_cm,contact_timing_bias_s,repeat_idx,startup_valid,late_stabilization,secondary_label,start_z,end_z,delta_z,forward_progress,duration_executed,success,task_completion_success,filter_pass,exclusion_reason
20260412_002024_ocs2_stepdown_9cm_ctp010_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp010_r02,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260412_002024_ocs2_stepdown_9cm_ctp010_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp010_r02,ocs2_stepdown_9cm,9.0,0.1,2,True,False,,0.1686,0.1014,-0.0672,0.0194,22.0029,True,True,False,low_progress
20260412_002059_ocs2_stepdown_9cm_ctp010_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp010_r03,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260412_002059_ocs2_stepdown_9cm_ctp010_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp010_r03,ocs2_stepdown_9cm,9.0,0.1,3,True,False,,0.276,0.3373,0.0613,3.1635,22.0018,True,True,True,
20260412_002134_ocs2_stepdown_9cm_ctp010_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp010_r04,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260412_002134_ocs2_stepdown_9cm_ctp010_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp010_r04,ocs2_stepdown_9cm,9.0,0.1,4,False,False,,0.2775,0.337,0.0594,3.9994,22.0031,True,True,False,startup_collapse
20260412_002209_ocs2_stepdown_9cm_ctp010_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp010_r05,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260412_002209_ocs2_stepdown_9cm_ctp010_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp010_r05,ocs2_stepdown_9cm,9.0,0.1,5,True,False,,0.28,0.3381,0.0581,3.0426,22.0032,True,True,True,
20260412_002244_ocs2_stepdown_9cm_ctp010_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp010_r06,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260412_002244_ocs2_stepdown_9cm_ctp010_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp010_r06,ocs2_stepdown_9cm,9.0,0.1,6,False,False,,0.2823,0.2182,-0.064,4.5348,18.2615,False,False,False,startup_collapse
20260412_002315_ocs2_stepdown_9cm_ctp010_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp010_r07,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260412_002315_ocs2_stepdown_9cm_ctp010_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp010_r07,ocs2_stepdown_9cm,9.0,0.1,7,True,False,,0.2818,0.3381,0.0563,3.1552,22.0026,True,True,True,
20260412_002350_ocs2_stepdown_9cm_ctp010_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp010_r08,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260412_002350_ocs2_stepdown_9cm_ctp010_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp010_r08,ocs2_stepdown_9cm,9.0,0.1,8,True,False,,0.2807,0.3383,0.0576,3.2397,22.0026,True,True,True,
20260412_002424_ocs2_stepdown_9cm_ctp010_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp010_r09,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260412_002424_ocs2_stepdown_9cm_ctp010_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp010_r09,ocs2_stepdown_9cm,9.0,0.1,9,False,False,,0.2835,0.0907,-0.1928,1.4788,9.301,False,False,False,startup_collapse
20260412_002446_ocs2_stepdown_9cm_ctp010_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp010_r10,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260412_002446_ocs2_stepdown_9cm_ctp010_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp010_r10,ocs2_stepdown_9cm,9.0,0.1,10,False,False,,0.281,0.3057,0.0248,0.8377,7.3812,False,False,False,short_duration
20260412_002507_ocs2_stepdown_9cm_ctp012_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp012_r01,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260412_002507_ocs2_stepdown_9cm_ctp012_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp012_r01,ocs2_stepdown_9cm,9.0,0.12,1,False,False,,0.2805,0.3307,0.0502,0.5685,6.2406,False,False,False,short_duration
20260412_002526_ocs2_stepdown_9cm_ctp012_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp012_r02,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260412_002526_ocs2_stepdown_9cm_ctp012_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp012_r02,ocs2_stepdown_9cm,9.0,0.12,2,False,False,,0.2812,0.1037,-0.1775,0.4958,10.0021,False,False,False,startup_collapse
20260412_002549_ocs2_stepdown_9cm_ctp012_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp012_r03,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260412_002549_ocs2_stepdown_9cm_ctp012_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp012_r03,ocs2_stepdown_9cm,9.0,0.12,3,False,False,,0.2826,0.1026,-0.18,2.1864,10.9611,False,False,False,startup_collapse
20260412_002612_ocs2_stepdown_9cm_ctp012_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp012_r04,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260412_002612_ocs2_stepdown_9cm_ctp012_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp012_r04,ocs2_stepdown_9cm,9.0,0.12,4,False,False,,0.2827,0.3251,0.0424,0.4725,6.1607,False,False,False,short_duration
