run_id,original_path,exclusion_reason,secondary_label,detail
20260411_011202_ocs2_stepdown_1cm_ctp010_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_ctp010_r08,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260411_011202_ocs2_stepdown_1cm_ctp010_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_ctp010_r08,low_progress,,low_progress:0.0263
20260411_011312_ocs2_stepdown_1cm_ctp010_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_ctp010_r10,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260411_011312_ocs2_stepdown_1cm_ctp010_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_ctp010_r10,low_progress,,low_progress:0.0271
20260411_011347_ocs2_stepdown_1cm_ctp012_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_ctp012_r01,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260411_011347_ocs2_stepdown_1cm_ctp012_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_ctp012_r01,low_progress,,low_progress:0.3783
20260411_011422_ocs2_stepdown_1cm_ctp012_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_ctp012_r02,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260411_011422_ocs2_stepdown_1cm_ctp012_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_ctp012_r02,short_duration,,duration_executed=5.4617
20260411_011440_ocs2_stepdown_1cm_ctp012_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_ctp012_r03,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260411_011440_ocs2_stepdown_1cm_ctp012_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_ctp012_r03,low_progress,,low_progress:0.0476
20260411_011511_ocs2_stepdown_1cm_ctp012_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_ctp012_r04,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260411_011511_ocs2_stepdown_1cm_ctp012_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_ctp012_r04,low_progress,,low_progress:0.2654
20260411_011703_ocs2_stepdown_1cm_ctp012_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_ctp012_r08,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260411_011703_ocs2_stepdown_1cm_ctp012_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_ctp012_r08,short_duration,,duration_executed=6.9210
20260411_011723_ocs2_stepdown_1cm_ctp012_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_ctp012_r09,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260411_011723_ocs2_stepdown_1cm_ctp012_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_ctp012_r09,short_duration,,duration_executed=6.7008
20260411_011742_ocs2_stepdown_1cm_ctp012_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_ctp012_r10,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260411_011742_ocs2_stepdown_1cm_ctp012_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_ctp012_r10,short_duration,,duration_executed=5.4608
20260411_011801_ocs2_stepdown_1cm_ctp015_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_ctp015_r01,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260411_011801_ocs2_stepdown_1cm_ctp015_height_only_nominal_v1_contactflagbias_batch_1cm_ocs2_stepdown_1cm_ctp015_r01,short_duration,,duration_executed=5.7209
