terrain_height_cm,contact_timing_bias_s,n_runs,n_runs_total,n_runs_excluded,success_rate,stable_rate,unstable_rate,fail_rate,outcome_majority,startup_valid_rate,late_stabilization_rate,end_only_stabilized_count,end_only_stabilized_rate_total,end_only_stabilized_rate_excluded,forward_progress_mean,forward_progress_std,lateral_progress_mean,lateral_progress_std,roll_rms_mean,roll_rms_std,pitch_rms_mean,pitch_rms_std,yaw_rms_mean,yaw_rms_std,yaw_change_deg_mean,yaw_change_deg_std,duration_mean,duration_std,time_to_failure_mean,time_to_failure_std,min_base_z_mean,min_base_z_std,base_z_std_mean,base_z_std_std,startup_gait_body_frame_forward_progress_mean,startup_gait_body_frame_forward_progress_std,distance_xy_mean,distance_xy_std,mean_forward_velocity_mean,mean_forward_velocity_std,start_z_mean,start_z_std,end_z_mean,end_z_std,delta_z_mean,delta_z_std,obs_state_norm_mean,opt_state_norm_mean,obs_input_norm_mean,opt_input_norm_mean,obs_contact_mean_fl,obs_contact_mean_fr,obs_contact_mean_rl,obs_contact_mean_rr,plan_contact_mean_fl,plan_contact_mean_fr,plan_contact_mean_rl,plan_contact_mean_rr,planned_mode_mode,obs_mode_mode
7.0,0.09,8,10,2,0.75,0.75,0.0,0.25,stable,1.0,0.0,0,0.0,0.0,2.6461,0.8871,0.1407,0.8782,2.0814,0.1208,3.7049,0.1647,4.3706,2.6765,0.1444,8.6023,18.5533,5.9767,8.1819,0.0206,0.1502,0.0582,0.0295,0.0074,-0.035,0.0073,2.7687,0.9561,0.1471,0.0067,0.2438,0.092,0.3125,0.057,0.0687,0.0422,4.0631,4.0686,121.5579,121.569,0.0,0.0,0.0,0.0,0.6495,0.6428,0.6428,0.6495,6,0
7.0,0.1,6,10,4,0.6667,0.6667,0.0,0.3333,stable,1.0,0.0,0,0.0,0.0,2.5961,0.7788,0.3734,0.3973,4.8924,4.3975,5.8481,2.4795,7.546,6.6221,21.7033,31.1426,18.0127,5.7567,10.0179,1.9646,0.1107,0.0132,0.0454,0.0184,-0.0462,0.0033,2.6609,0.7505,0.1508,0.0108,0.2312,0.1035,0.2476,0.1065,0.0164,0.0905,4.0935,4.0998,138.9081,138.9323,0.0,0.0,0.0,0.0,0.6488,0.6343,0.6343,0.6488,9,0
7.0,0.12,8,10,2,0.375,0.0,0.375,0.625,fail,1.0,0.0,0,0.0,0.0,2.1821,0.8541,-0.2866,1.4871,9.5441,3.1182,7.8495,1.401,11.7494,8.6501,-10.8862,35.3784,16.6173,4.8778,13.3733,3.1984,0.1057,0.0109,0.0674,0.0108,-0.0738,0.0127,2.6427,0.895,0.1562,0.0158,0.2426,0.0915,0.1883,0.101,-0.0543,0.184,4.2108,4.2174,177.0808,177.1501,0.0,0.0,0.0,0.0,0.6238,0.6184,0.6184,0.6238,9,0
7.0,0.15,0,10,10,,,,,none,,,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,0.0,10,10,0,1.0,1.0,0.0,0.0,stable,1.0,0.0,0,0.0,,1.5396,0.0238,0.0246,0.0786,0.9244,0.0468,0.8904,0.0649,1.9559,0.6897,1.0641,2.7978,22.0037,0.0014,,,0.196,0.0972,0.0196,0.0066,-0.0076,0.0012,1.5418,0.0226,0.0701,0.001,0.1959,0.1283,0.2713,0.1025,0.0755,0.0262,3.4476,3.4492,100.1121,100.119,0.0,0.0,0.0,0.0,0.6382,0.6385,0.6385,0.6382,6,0
9.0,0.05,9,10,1,1.0,1.0,0.0,0.0,stable,1.0,0.0,0,0.0,0.0,2.2059,0.0882,0.1486,0.1431,1.0829,0.052,1.4982,0.1962,2.9608,1.8236,3.1237,3.3016,22.003,0.001,,,0.1347,0.0511,0.0249,0.0035,-0.0187,0.0029,2.216,0.0753,0.1007,0.0034,0.0925,0.1307,0.203,0.1061,0.1105,0.0591,3.6299,3.6331,105.1036,105.1106,0.0,0.0,0.0,0.0,0.638,0.638,0.638,0.638,9,0
9.0,0.07,9,10,1,0.6667,0.6667,0.0,0.3333,stable,1.0,0.0,0,0.0,0.0,2.2549,0.8737,0.0687,0.3973,1.9707,0.325,3.076,0.458,3.5377,2.4799,-0.6844,6.1275,17.5911,6.2396,8.7602,0.1714,0.1651,0.0683,0.0266,0.0078,-0.024,0.0055,2.2837,0.8917,0.1275,0.0092,0.2155,0.1153,0.301,0.0701,0.0855,0.0852,3.86,3.865,113.3036,113.3139,0.0,0.0,0.0,0.0,0.6509,0.6434,0.6434,0.6509,9,0
9.0,0.08,9,10,1,0.8889,0.7778,0.1111,0.1111,stable,1.0,0.0,0,0.0,0.0,2.8239,0.6566,0.245,0.9527,2.4886,1.0517,4.1035,0.9427,8.6579,9.8668,7.8167,15.0117,20.4759,4.3187,8.2546,0.0,0.1297,0.048,0.0331,0.0077,-0.0335,0.0058,2.9775,0.7126,0.1437,0.0101,0.2465,0.0871,0.3193,0.0451,0.0728,0.0428,3.987,3.9924,119.8606,119.8693,0.0,0.0,0.0,0.0,0.643,0.6394,0.6394,0.643,9,0
9.0,0.09,8,10,2,0.875,0.875,0.0,0.125,stable,1.0,0.0,0,0.0,0.0,2.8152,0.7831,0.0313,0.9317,3.0598,2.3337,4.6446,2.0193,6.446,10.5003,-6.1487,16.4166,20.5582,3.8239,10.4401,0.0,0.1106,0.0114,0.0397,0.0117,-0.0416,0.0039,2.9664,0.7798,0.1413,0.0202,0.2795,0.0012,0.3177,0.0497,0.0382,0.0504,4.0374,4.044,129.8562,129.8737,0.0,0.0,0.0,0.0,0.6407,0.6358,0.6358,0.6407,6,0
9.0,0.1,5,10,5,1.0,1.0,0.0,0.0,stable,1.0,0.0,0,0.0,0.0,3.1858,0.095,0.1628,0.3527,2.3474,0.2045,4.3828,0.4119,3.4635,1.3017,1.1156,2.9118,22.0029,0.0008,,,0.1166,0.0,0.0381,0.0012,-0.0424,0.0034,3.2093,0.0994,0.1459,0.0045,0.2779,0.0039,0.3379,0.0004,0.06,0.0037,4.057,4.0628,132.0995,132.1066,0.0,0.0,0.0,0.0,0.6379,0.6375,0.6375,0.6379,9,0
9.0,0.12,1,10,9,0.0,0.0,0.0,1.0,fail,1.0,0.0,0,0.0,0.0,1.6094,0.0,0.0425,0.0,18.8665,0.0,9.1119,0.0,33.5598,0.0,-80.2407,0.0,9.281,0.0,9.2732,0.0,0.0808,0.0,0.1064,0.0,-0.0603,0.0,1.61,0.0,0.1735,0.0,0.2795,0.0,0.1101,0.0,-0.1693,0.0,4.2653,4.277,201.7949,201.8585,0.0,0.0,0.0,0.0,0.659,0.6566,0.6566,0.659,9,0
9.0,0.15,0,10,10,,,,,none,,,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
