time_sec,swing_phase,nominal_spline_z_m,nominal_spline_vz_mps,perceptive_spline_z_m,perceptive_spline_vz_mps,planned_foot_x_m,planned_foot_y_m,planned_foot_z_m,measured_foot_x_m,measured_foot_y_m,measured_foot_z_m,physical_terrain_height_m,perceived_terrain_height_m
10.886000000,0.736000000,0.244826862,-0.929424640,0.212763789,-1.766790400,0.683104609,0.144698761,0.223132527,0.673073387,0.146694181,0.204869366,0.100000000,0.130000000
10.888000000,0.744000000,0.242963845,-0.933290240,0.209223603,-1.772806400,0.684586408,0.144304502,0.222546995,0.673073387,0.146694181,0.204869366,0.100000000,0.130000000
10.890000000,0.752000000,0.241094909,-0.935343360,0.205674918,-1.775289600,0.686072278,0.143908639,0.221966397,0.675675808,0.146418963,0.202474571,0.100000000,0.130000000
10.892000000,0.760000000,0.239223680,-0.935584000,0.202124800,-1.774240000,0.687562878,0.143511166,0.221391565,0.676979293,0.146259592,0.201279860,0.100000000,0.130000000
10.894000000,0.768000000,0.237353782,-0.934012160,0.198580314,-1.769657600,0.689057071,0.143112488,0.220821093,0.678287746,0.146072114,0.200086219,0.100000000,0.130000000
10.896000000,0.776000000,0.235488840,-0.930627840,0.195048525,-1.761542400,0.690553948,0.142711940,0.220255444,0.678287746,0.146072114,0.200086219,0.100000000,0.130000000
10.898000000,0.784000000,0.233632479,-0.925431040,0.191536499,-1.749894400,0.692055758,0.142309872,0.219694826,0.680015584,0.145418106,0.197887238,0.100000000,0.130000000
10.900000000,0.792000000,0.231788324,-0.918421760,0.188051302,-1.734713600,0.693533616,0.141863161,0.219095197,0.682181725,0.145291593,0.196423603,0.100000000,0.130000000
10.902000000,0.800000000,0.229960000,-0.909600000,0.184600000,-1.716000000,0.695013009,0.141414776,0.218498115,0.683473833,0.144950215,0.195185599,0.100000000,0.130000000
10.904000000,0.808000000,0.228151132,-0.898965760,0.181189658,-1.693753600,0.696499026,0.140964507,0.217908874,0.683473833,0.144950215,0.195185599,0.100000000,0.130000000
10.906000000,0.816000000,0.226365345,-0.886519040,0.177827341,-1.667974400,0.697987631,0.140512450,0.217324820,0.686064610,0.144167241,0.192741969,0.100000000,0.130000000
10.908000000,0.824000000,0.224606264,-0.872259840,0.174520115,-1.638662400,0.699478405,0.140058721,0.216743169,0.687368868,0.143749359,0.191533453,0.100000000,0.130000000
10.910000000,0.832000000,0.222877514,-0.856188160,0.171275046,-1.605817600,0.700975717,0.139603147,0.216169616,0.687830037,0.143091618,0.190482021,0.100000000,0.130000000
10.912000000,0.840000000,0.221182720,-0.838304000,0.168099200,-1.569440000,0.702474760,0.139145972,0.215599770,0.688683037,0.143317518,0.190331021,0.100000000,0.130000000
10.914000000,0.848000000,0.219525507,-0.818607360,0.164999642,-1.529529600,0.703979687,0.138686911,0.215035814,0.690850017,0.143113875,0.188999517,0.100000000,0.130000000
10.916000000,0.856000000,0.217909499,-0.797098240,0.161983437,-1.486086400,0.705487354,0.138226229,0.214478182,0.692686703,0.141963515,0.186774052,0.100000000,0.130000000
10.918000000,0.864000000,0.216338322,-0.773776640,0.159057651,-1.439110400,0.706998365,0.137763912,0.213924362,0.694051128,0.141493051,0.185620828,0.100000000,0.130000000
10.920000000,0.872000000,0.214815601,-0.748642560,0.156229350,-1.388601600,0.708448822,0.137258550,0.213299658,0.695425839,0.141015960,0.184482662,0.100000000,0.130000000
10.922000000,0.880000000,0.213344960,-0.721696000,0.153505600,-1.334560000,0.709901796,0.136751425,0.212679849,0.695425839,0.141015960,0.184482662,0.100000000,0.130000000
10.924000000,0.888000000,0.211930025,-0.692936960,0.150893466,-1.276985600,0.711359354,0.136242301,0.212065355,0.697642264,0.140792964,0.183249501,0.100000000,0.130000000
10.926000000,0.896000000,0.210574420,-0.662365440,0.148400013,-1.215878400,0.708304633,0.142801991,0.192846620,0.699608521,0.139605539,0.181136493,0.100000000,0.130000000
10.928000000,0.904000000,0.209281772,-0.629981440,0.146032307,-1.151238400,0.710569131,0.142833706,0.192590796,0.701018287,0.139146434,0.180045012,0.100000000,0.130000000
10.930000000,0.912000000,0.208055703,-0.595784960,0.143797414,-1.083065600,0.712836655,0.142866196,0.192340883,0.702433165,0.138689143,0.178966049,0.100000000,0.130000000
10.932000000,0.920000000,0.206899840,-0.559776000,0.141702400,-1.011360000,0.715106205,0.142899485,0.192098080,0.702433165,0.138689143,0.178966049,0.100000000,0.130000000
10.934000000,0.928000000,0.205817807,-0.521954560,0.139754330,-0.936121600,0.717374651,0.142933524,0.191860371,0.704438245,0.137514969,0.176921052,0.100000000,0.130000000
10.936000000,0.936000000,0.204813230,-0.482320640,0.137960269,-0.857350400,0.719647135,0.142968414,0.191631171,0.706115756,0.137069786,0.176224172,0.100000000,0.130000000
10.938000000,0.944000000,0.203889733,-0.440874240,0.136327283,-0.775046400,0.721921547,0.143004157,0.191409118,0.707751756,0.137609586,0.176059172,0.100000000,0.130000000
10.940000000,0.952000000,0.203050941,-0.397615360,0.134862438,-0.689209600,0.723848003,0.143086161,0.191039853,0.709681607,0.137188927,0.175723284,0.100000000,0.130000000
10.942000000,0.960000000,0.202300480,-0.352544000,0.133572800,-0.599840000,0.725775808,0.143168908,0.190674004,0.712926757,0.136282768,0.175085421,0.100000000,0.130000000
10.944000000,0.968000000,0.201641974,-0.305660160,0.132465434,-0.506937600,0.727706358,0.143252556,0.190315583,0.714864786,0.136086152,0.174407679,0.100000000,0.130000000
10.946000000,0.976000000,0.201079048,-0.256963840,0.131547405,-0.410502400,0.729637906,0.143336984,0.189960748,0.715966811,0.135651602,0.173745452,0.100000000,0.130000000
10.948000000,0.984000000,0.200615327,-0.206455040,0.130825779,-0.310534400,0.731568745,0.143422154,0.189609347,0.716766811,0.135925102,0.173684452,0.100000000,0.130000000
10.950000000,0.992000000,0.200254436,-0.154133760,0.130307622,-0.207033600,0.733503285,0.143508249,0.189264376,0.719480999,0.136036675,0.173051325,0.100000000,0.130000000
10.952000000,1.000000000,0.200000000,-0.100000000,0.130000000,-0.100000000,0.735437383,0.143595235,0.188923411,0.722565552,0.135341103,0.172440395,0.100000000,0.130000000
